tile	FxSynthesize (hours)	FxFpPlaceMacros (hours)	FxPostFloorPlan (hours)	FxPlace (hours)	FxCts (hours)	FxOptCts (hours)	FxRoute (hours)	FxOptRoute (hours)	FxReRoute (hours)
df_gio*	NA	0.3~0.3	0.6~0.6	31.14~31.14	11.29~11.29	22.49~22.49	6.58~6.58	17.82~17.82	7.37~7.37
df_gcm*	NA	0.21~0.21	0.32~0.32	6.3~6.3	1.31~1.31	9.19~9.19	1.6~1.6	3.74~3.74	1.59~1.59
tsv_*	NA	0.12~0.36	0.16~0.68	1.1~14.31	0.72~9.67	1.26~7.14	0.38~3.83	0.8~9.64	0.65~5.63
fch_*	NA	NA	NA	NA	NA	NA	NA	NA	NA
pcie_*	NA	0.29~0.75	0.5~3.21	7.6~34.74	3.78~36.33	12.19~57.71	5.8~13.57	9.61~50.44	6.08~45.23
channel_*	NA	0.11~0.33	0.35~0.68	0.71~7.99	0.61~4.55	1.22~9.07	0.32~5.58	0.6~4.76	1.17~9.4
df_el3*	NA	0.13~0.2	0.18~0.31	1.02~1.3	1.0~1.23	1.13~2.44	0.54~0.92	1.07~1.86	1.18~2.94
smu_*	NA	0.09~0.92	0.14~2.38	0.68~15.67	0.33~14.08	0.87~17.43	0.02~12.73	0.59~19.2	0.67~24.2
mmhub_*	NA	0.24~0.75	0.42~2.16	4.56~73.97	3.58~22.39	6.18~52.86	2.11~20.69	4.28~40.79	3.63~29.59
df_pie*	NA	0.11~0.11	0.21~0.21	4.83~4.83	3.64~3.64	5.41~5.41	2.61~2.61	5.48~5.48	3.16~3.16
dxio_*	NA	0.23~0.64	0.38~0.95	4.73~31.28	5.69~15.94	6.23~20.33	2.23~13.67	6.9~25.17	2.59~18.37
vdci_*	NA	0.1~0.42	0.15~0.8	0.8~7.41	0.39~4.06	0.95~16.03	0.42~3.43	0.66~9.18	0.77~5.33
io_*	NA	0.09~0.51	0.14~1.14	0.78~4.46	0.45~3.02	0.7~9.01	0.24~3.8	0.44~8.69	0.35~10.85
df_cs_*	NA	0.32~0.36	1.02~1.11	34.04~48.58	6.14~15.05	30.17~53.59	8.98~27.14	17.92~34.81	11.02~24.29
vcn_*	9.27~39.27	0.24~0.72	0.19~3.41	3.39~36.3	3.01~23.9	3.9~53.65	2.14~22.59	3.63~79.56	0.51~32.07
df_tcd*	NA	0.14~0.47	0.19~1.2	4.02~47.94	0.97~13.28	5.05~52.3	2.45~12.31	6.37~33.52	2.81~16.36
dcn_*	NA	0.11~0.46	0.3~1.77	0.81~20.8	0.37~10.15	1.25~30.62	0.47~20.76	0.54~38.68	1.16~30.25
cit_*	NA	0.33~0.82	0.4~1.13	5.75~33.64	6.07~21.86	7.52~32.25	3.32~12.67	7.67~28.19	4.5~23.9
oss_*	NA	0.34~0.73	0.4~1.47	13.5~22.94	5.32~12.02	13.51~22.49	5.51~11.11	15.2~24.64	6.03~14.02
athub_*	NA	0.14~0.49	0.31~1.3	5.89~46.63	2.56~24.5	8.58~39.82	4.25~15.72	6.49~41.94	4.3~16.66
df_iom*	NA	0.34~0.34	0.66~0.66	NA	NA	NA	NA	30.53~30.53	12.41~12.41
cdci_*	NA	0.12~0.16	0.15~0.24	1.69~2.12	0.73~2.52	1.33~3.73	0.52~0.94	1.32~3.48	0.94~1.43
df_mal*	NA	0.22~0.48	0.4~1.91	36.77~157.7	5.95~31.52	32.38~79.26	7.68~17.31	23.77~45.3	9.73~34.1
df_cak*	NA	0.25~0.36	0.4~0.44	18.56~29.41	5.65~9.39	9.72~31.43	5.77~6.03	11.19~18.96	3.6~6.72
nbio_*	NA	0.09~0.63	0.19~1.7	3.15~43.04	1.36~21.73	2.53~33.31	1.15~15.59	3.84~32.27	1.28~21.39
umc_*	NA	0.12~0.42	0.3~2.24	3.84~61.99	2.16~16.75	4.68~44.11	0.11~10.96	4.62~26.0	4.34~25.61
cip_*	NA	0.31~0.62	0.75~2.07	17.11~22.08	8.89~10.18	31.68~35.68	10.42~97.84	26.6~33.59	14.09~22.07
df_rpt*	NA	0.13~0.44	0.26~4.42	1.1~34.47	0.54~19.8	1.96~330.39	0.9~19.2	1.02~24.16	0.21~40.71
dfx_*	NA	0.1~0.21	0.15~0.35	1.54~6.84	1.2~2.85	1.47~6.49	0.58~1.78	1.57~3.09	1.06~2.86
soc_*	NA	0.18~0.31	0.45~1.23	1.34~3.47	1.34~3.76	2.49~5.77	0.89~2.6	2.16~4.92	1.53~5.73
all_tile_range	9.27~39.27	0.09~0.92	0.14~4.42	0.68~157.7	0.33~36.33	0.7~330.39	0.02~97.84	0.44~79.56	0.21~45.23
